gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
DDX11L1,ENSG00000223972.5,0.007247712,6.58E-04,0.010896496,0.003113672
WASH7P,ENSG00000227232.5,4.846911111,0.115287081,2.236160701,0.070106716
MIR6859-1,ENSG00000278267.1,0.021822658,0.005363552,1.323868939,0.058390844
MIR1302-2HG,ENSG00000243485.5,0.018543137,0.002033909,0.005203314,0.000643947
FAM138A,ENSG00000237613.2,0.007115033,8.84E-04,0.001282955,0.000289347
OR4G4P,ENSG00000268020.3,0.041423747,0.002831929,0.002105682,0.001079551
OR4G11P,ENSG00000240361.1,0.053676253,0.003923676,0.00394697,0.002026635
OR4F5,ENSG00000186092.4,0.067617211,0.004684264,0.001261174,0.000493868
RP11-34P13.7,ENSG00000238009.6,0.042926144,0.003367098,0,0
CICP27,ENSG00000233750.3,0.049011983,0.003120978,0.062882292,0.002722088
RP11-34P13.15,ENSG00000268903.1,6.071698257,0.323902442,0,0
RP11-34P13.16,ENSG00000269981.1,9.975940741,0.531433953,0,0
RP11-34P13.14,ENSG00000239906.1,0.362240305,0.030732383,0,0
RP11-34P13.13,ENSG00000241860.6,0.212144227,0.007968561,0,0
RNU6-1100P,ENSG00000222623.1,0.00223268,0.001577019,0.012571212,0.003397686
RP11-34P13.9,ENSG00000241599.1,0.001985621,7.48E-04,0,0
ABC7-43046700E7.1,ENSG00000279928.2,0.157262745,0.010544029,0,0
RP11-34P13.18,ENSG00000279457.4,8.691418301,0.190524217,0,0
MIR6859-2,ENSG00000273874.1,0.01124183,0.005113834,0.446382292,0.029378775
AP006222.2,ENSG00000228463.9,0.828591939,0.03408349,0.111836648,0.011617456
RPL23AP24,ENSG00000236679.2,0.088159259,0.005531571,0.007099527,0.001282253
RP5-857K21.15,ENSG00000236743.1,0.003934205,8.50E-04,0,0
RP4-669L17.2,ENSG00000236601.2,0.029562745,0.002861396,0,0
RP4-669L17.10,ENSG00000237094.11,0.26077342,0.008264603,0,0
WBP1LP7,ENSG00000269732.1,0.092218954,0.006964389,0.000917898,0.000417403
OR4F29,ENSG00000278566.1,0.046735948,0.00408754,0.000658428,0.000221986
CICP7,ENSG00000233653.3,0.014295861,0.001344267,0.000342803,9.59E-05
RP4-669L17.8,ENSG00000250575.1,0.038694771,0.003639057,0,0
U6,ENSG00000278757.1,0.012401525,0.003975908,0.026994223,0.012189459
RP5-857K21.4,ENSG00000230021.8,0.050875817,0.001869009,0,0
RP5-857K21.2,ENSG00000235146.2,0.007434423,0.001910241,0,0
MTND1P23,ENSG00000225972.1,305.7538436,49.80763204,241.3553279,30.04857411
MTND2P28,ENSG00000225630.1,1062.658826,35.89483633,413.392101,12.5681779
MTCO1P12,ENSG00000237973.1,116.4073617,13.88733532,187.8442621,6.208949154
MTCO2P12,ENSG00000229344.1,23.46506754,3.828191679,13.57462936,2.152840159
MTATP8P1,ENSG00000240409.1,21.39027233,1.995994238,7.384293466,3.174304083
MTATP6P1,ENSG00000248527.1,3582.770414,66.871933,1582.830706,27.43320799
MTCO3P12,ENSG00000198744.5,47.86259477,6.866003093,64.30376023,12.94182351
WBP1LP6,ENSG00000268663.1,0.053212854,0.003945043,0.009089489,0.001617593
OR4F16,ENSG00000273547.1,0.041176688,0.002599178,0.00015464,9.09E-05
RP11-206L10.17,ENSG00000283574.1,0,0,0,0
CICP3,ENSG00000229376.3,0.14455207,0.005277025,0.043296402,0.002215686
RP11-206L10.2,ENSG00000228327.3,2.936327233,0.063166333,0,0
RNU6-1199P,ENSG00000223181.1,0.030946623,0.005825722,0.083992519,0.025380558
RP11-206L10.4,ENSG00000229905.1,0.05526841,0.00413868,0,0
RP11-206L10.9,ENSG00000237491.8,0.646659913,0.015958428,0,0
RP11-206L10.8,ENSG00000230092.7,1.612050545,0.045625903,0,0
FAM87B,ENSG00000177757.2,1.103918083,0.031022352,0.302454072,0.011958487
LINC01128,ENSG00000228794.8,7.184610022,0.211817909,3.505064015,0.056365897
LINC00115,ENSG00000225880.5,4.79647146,0.130512729,1.278222727,0.028936476
FAM41C,ENSG00000230368.2,0.108295425,0.006110668,0.022660511,0.001868435
TUBB8P11,ENSG00000234711.1,0.162521133,0.011540404,0.079248106,0.003522571
FAM166AP3,ENSG00000283040.1,0.079074946,0.007093829,0,0
RP11-54O7.16,ENSG00000272438.1,0.369857081,0.032250469,0,0
RP11-54O7.1,ENSG00000230699.2,0.307913072,0.036687014,0,0
RP11-54O7.2,ENSG00000241180.1,0.005686275,0.004020124,0,0
RP11-54O7.3,ENSG00000223764.2,2.320369281,0.125868202,0,0
SAMD11,ENSG00000187634.11,2.511043355,0.120499343,6.193109943,0.304568526
NOC2L,ENSG00000188976.10,58.63712418,0.80896004,59.56711875,0.844870646
KLHL17,ENSG00000187961.13,12.79847277,0.273379901,7.291890436,0.163973228
PLEKHN1,ENSG00000187583.10,4.066333987,0.187677669,5.297943087,0.129067799
PERM1,ENSG00000187642.9,1.477017211,0.071719701,0.489315152,0.016103476
RP11-54O7.17,ENSG00000272512.1,6.151632026,0.25508114,0,0
HES4,ENSG00000188290.10,35.87666231,1.155412605,23.46847945,0.828963338
ISG15,ENSG00000187608.8,44.486061,5.020507431,506.9893307,29.98842391
RP11-54O7.10,ENSG00000231702.2,0.347291939,0.022694592,0,0
RP11-54O7.11,ENSG00000224969.1,0.642847495,0.028200136,0,0
AGRN,ENSG00000188157.14,37.74655556,1.259332395,79.74367491,1.590607817
RP11-465B22.3,ENSG00000217801.9,2.201104357,0.111745228,0,0
RP11-54O7.18,ENSG00000273443.1,0.421063181,0.02811542,0,0
RNF223,ENSG00000237330.2,1.094771024,0.081432066,7.225288447,0.249455624
C1orf159,ENSG00000131591.17,12.58222222,0.288170601,7.979537689,0.148424506
LINC01342,ENSG00000223823.1,0.41729281,0.023866702,0.783515909,0.036011417
MIR200B,ENSG00000207730.3,0.216309804,0.019684247,1.855746023,0.110748474
MIR200A,ENSG00000207607.3,0.159014379,0.017405432,3.433444223,0.163333374
MIR429,ENSG00000198976.1,0.314890196,0.029386145,9.623979545,0.349081479
RP11-465B22.8,ENSG00000272141.1,5.37110915,0.344986813,0,0
TTLL10-AS1,ENSG00000205231.1,0.9734878,0.036034138,0.067087595,0.003592542
TTLL10,ENSG00000162571.13,1.835648802,0.052280975,0.319554545,0.012818495
TNFRSF18,ENSG00000186891.13,3.696801961,0.130472512,25.89300114,1.190066998
TNFRSF4,ENSG00000186827.10,12.24547277,0.411794577,7.912085133,0.226413281
SDF4,ENSG00000078808.16,142.6821786,1.42828465,99.0457304,1.148563265
B3GALT6,ENSG00000176022.4,16.71723747,0.242889191,39.83426705,0.578138737
C1QTNF12,ENSG00000184163.3,3.131007625,0.087107766,1.609249716,0.142431601
RP5-902P8.12,ENSG00000260179.1,0.805247277,0.024276364,0,0
UBE2J2,ENSG00000160087.20,24.4487146,0.243405543,34.06305341,0.396378072
